pagina,degree_centrality,closeness,betweenness,eigenvector_centrality,pagerank,in_degree,out_degree,degree_total
Informática,0.16414141414141414,0.37427604333807063,0.01598221244505932,0.03674117570832804,0.008317512578294939,35,30,65
Informática educativa,0.0025252525252525255,0.28618367583884824,0.0,0.0027157487608184335,0.0006110845944428835,1,0,1
Inteligência artifical,0.007575757575757576,0.28767030772844726,0.0,0.0029267979592238454,0.0006588991336939831,2,1,3
Inteligência artificial,0.21969696969696972,0.37202475886686415,0.012894304415267153,0.036483533098006664,0.004553563801806939,46,41,87
Interação homem-computador,0.0025252525252525255,0.28618367583884824,0.0,0.0027157487608184335,0.0006110845944428835,1,0,1
Interação humano-computador,0.01767676767676768,0.3010638427808924,0.0,0.004744432342279476,0.0007000005341012429,7,0,7
Interface do usuário,0.015151515151515152,0.29853692803333093,0.0,0.004533383143874064,0.0006521859948501435,6,0,6
Interface gráfica do utilizador,0.06818181818181819,0.3147537718148405,0.0006005191467575086,0.011179093534288738,0.000993406904223758,10,17,27
International Standard Book Number,0.4267676767676768,0.5100958033947726,0.01844823469710033,0.13612311015363576,0.025309973969798484,152,17,169
International Standard Serial Number,0.196969696969697,0.42362408329874085,0.0003422904293158442,0.08358474024828684,0.012050033851620123,69,9,78
Internet,0.393939393939394,0.4221782673147861,0.03560318549895566,0.12182790169257153,0.010460365092980251,68,88,156
Internet Relay Chat,0.12121212121212122,0.37202475886686415,0.0010014818605862596,0.10620897955255977,0.002239890267376371,41,7,48
Interpretador,0.07828282828282829,0.33936414903493095,0.00025819895996734266,0.018216885846715953,0.001511860155965878,18,13,31
Islão,0.012626262626262628,0.2996146786760505,0.0,0.0034743992121560614,0.0009613061865707652,5,0,5
J. Presper Eckert,0.005050505050505051,0.2988953157020384,0.0,0.005382951306457359,0.0006408077917811791,2,0,2
JSTOR,0.1994949494949495,0.4214590539122055,0.008216447011524922,0.07504195457377334,0.008529230621859821,71,8,79
James Gosling,0.05555555555555556,0.30430069452209674,0.00012851008780065558,0.011332810060248525,0.0008108168229816784,5,17,22
JavaScript,0.12626262626262627,0.3370524041504968,0.0026991289701376554,0.018482994048211503,0.001969941002778569,20,30,50
Java (linguagem de programação),0.12626262626262627,0.3421804490269221,0.0014196247271742637,0.023697563932209956,0.002230635985807475,27,23,50
John Atanasoff,0.06818181818181819,0.30505112780081955,0.00028943438678868423,0.009934543145039077,0.0010693366811398424,11,16,27
John Backus,0.11363636363636365,0.32724400085511196,0.0011310391090994139,0.024858772407336152,0.0017691164050529686,21,24,45
John Bardeen,0.08585858585858587,0.33431954681954684,0.0007963364083469281,0.01499660394064843,0.0015256769261125967,12,22,34
John Napier,0.03282828282828283,0.28600747357972794,5.832384524367646e-06,0.0028708232681320194,0.0006577099706765502,2,11,13
John William Mauchly,0.0025252525252525255,0.28618367583884824,0.0,0.0027157487608184335,0.0006110845944428835,1,0,1
John von Neumann,0.3434343434343435,0.3811964016124263,0.006662984064902613,0.11167050108944461,0.002866479474533469,54,82,136
Joseph Marie Jacquard,0.007575757575757576,0.3007002391060362,0.0,0.005480137356398322,0.000677819713789754,3,0,3
Ken Thompson,0.12373737373737374,0.32424176231515683,0.0025063202946033164,0.0280561662000789,0.0018534000013968198,23,26,49
Konrad Zuse,0.05808080808080809,0.3188098771217328,0.0014792909523766934,0.011268806063822677,0.0013210889383307,10,13,23
